,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
17952,17953,2023-02-03,1호선,150,서울역,승차,313,470,1507,2493,2049,1916,2283,2713,2622,2558,3510,4811,6900,9410,4414,3275,3341,2323,1020,175
17953,17954,2023-02-03,1호선,150,서울역,하차,260,1530,4024,9032,5796,2723,2205,2603,2733,2579,2588,2714,3920,4522,3238,1811,1452,1035,551,189
18496,18497,2023-02-04,1호선,150,서울역,승차,248,255,475,1211,1977,2458,3218,3439,3370,2601,3794,4157,4414,3118,2646,1896,2131,1710,590,3
18497,18498,2023-02-04,1호선,150,서울역,하차,227,1211,1537,1836,2799,2633,2578,3473,3106,2963,3336,3242,3268,2486,2252,1628,1376,1100,604,54
19040,19041,2023-02-05,1호선,150,서울역,승차,143,155,269,741,1206,1698,1832,2133,2233,1945,2718,2466,2770,2662,2395,2235,2394,1627,556,3
19041,19042,2023-02-05,1호선,150,서울역,하차,110,606,843,1065,1651,1657,1684,2094,2146,2503,2673,2596,2902,2406,2331,1654,1279,717,338,16
19584,19585,2023-02-06,1호선,150,서울역,승차,291,505,1876,2995,2096,1741,2505,2574,2471,2088,2667,3444,5730,9055,3983,2705,2476,1417,575,74
19585,19586,2023-02-06,1호선,150,서울역,하차,330,2139,4669,10074,5790,2770,2291,2292,2380,1949,2163,2130,2719,2895,1820,1122,955,625,321,109
20128,20129,2023-02-07,1호선,150,서울역,승차,313,450,1584,2689,2153,1688,2519,2462,2581,2288,3033,3373,5864,9039,3918,2755,2835,1665,670,78
20129,20130,2023-02-07,1호선,150,서울역,하차,280,1664,4433,10200,6223,2567,2237,2364,2341,2068,2336,2269,2690,3014,1781,1246,1061,756,371,109
20672,20673,2023-02-08,1호선,150,서울역,승차,315,442,1536,2778,1857,2005,2387,2743,2590,2264,2833,3429,6523,8943,4145,2646,2792,1718,729,95
20673,20674,2023-02-08,1호선,150,서울역,하차,276,1692,4349,10122,6117,2726,2183,2407,2400,2023,2326,2353,2773,3091,1934,1186,1097,765,421,127
21216,21217,2023-02-09,1호선,150,서울역,승차,304,467,1601,2714,1980,1891,2435,2551,2726,2273,3088,3621,6152,9181,3916,2269,2729,2002,1595,238
21217,21218,2023-02-09,1호선,150,서울역,하차,291,1676,4383,10002,6335,2787,2323,2397,2318,2156,2472,2429,3012,3200,1891,1266,1258,843,475,206
21760,21761,2023-02-10,1호선,150,서울역,승차,289,441,1483,2422,2299,1936,2482,2862,3115,2627,3603,4811,7002,9243,4580,2995,3380,2590,1074,123
21761,21762,2023-02-10,1호선,150,서울역,하차,270,1686,3592,9398,6249,2836,2561,2755,2937,2683,2729,2815,3731,4675,3090,1835,1517,1173,573,201
22304,22305,2023-02-11,1호선,150,서울역,승차,286,232,464,1396,2188,2796,3319,3693,3134,2746,3568,3868,3707,2891,2714,2094,2430,1793,696,3
22305,22306,2023-02-11,1호선,150,서울역,하차,286,1475,1736,1965,3018,2661,2819,3639,3360,2998,3347,2844,3306,2400,2271,1767,1554,1112,643,58
22848,22849,2023-02-12,1호선,150,서울역,승차,130,170,292,694,1309,1878,2284,2681,2639,1953,2919,2627,2832,2831,2622,2107,2069,1968,614,10
22849,22850,2023-02-12,1호선,150,서울역,하차,135,802,956,1227,1800,1793,1931,2391,2691,2585,2547,2743,2956,2420,2357,1767,1204,728,419,49
23392,23393,2023-02-13,1호선,150,서울역,승차,300,481,1835,3168,2145,1833,2738,2791,2736,2419,2950,3436,6137,9198,4109,2719,2646,1518,632,52
23393,23394,2023-02-13,1호선,150,서울역,하차,343,2218,4499,10230,6132,2682,2683,2564,2252,2158,2386,2453,2684,3007,1860,1348,1050,740,344,109
23936,23937,2023-02-14,1호선,150,서울역,승차,313,473,1584,2832,2116,2006,2658,2622,2672,2449,2960,3548,6504,9342,4275,2874,2976,1652,742,83
23937,23938,2023-02-14,1호선,150,서울역,하차,344,1750,4546,10271,6237,2834,2241,2431,2440,2095,2380,2477,2775,3281,1795,1336,1142,798,400,102
24482,24483,2023-02-15,1호선,150,서울역,승차,296,485,1565,2857,2232,1857,2786,2840,2740,2275,3268,3700,6454,8926,4169,3012,2982,1743,874,89
24483,24484,2023-02-15,1호선,150,서울역,하차,307,1793,4550,10292,5980,3127,2364,2535,2539,2201,2505,2583,2917,3273,1949,1358,1214,871,425,128
25026,25027,2023-02-16,1호선,150,서울역,승차,322,452,1637,2896,2142,2129,2788,2955,2960,2377,3340,3718,6388,9051,4350,3248,3169,1968,975,116
25027,25028,2023-02-16,1호선,150,서울역,하차,343,1810,4354,10188,6576,2501,2692,2656,2613,2290,2704,2719,3275,3630,2125,1622,1417,986,476,125
25570,25571,2023-02-17,1호선,150,서울역,승차,317,485,1486,2740,2305,2182,2973,3172,3154,2670,3888,4837,7095,8903,4549,3132,3572,2477,1211,222
25571,25572,2023-02-17,1호선,150,서울역,하차,306,1829,4018,9382,5896,3012,2563,3079,3324,2664,2715,2975,4153,4609,3417,1961,1769,1130,707,189
26114,26115,2023-02-18,1호선,150,서울역,승차,275,262,500,1624,2150,2821,3429,3692,3254,2602,3725,4646,4205,3349,2998,2208,2450,1799,664,7
26115,26116,2023-02-18,1호선,150,서울역,하차,273,1476,1720,2060,3058,2853,2987,3696,3261,3059,3403,3452,3307,3003,2254,1709,1548,1126,649,77
26658,26659,2023-02-19,1호선,150,서울역,승차,146,168,249,806,1501,1971,2267,2938,2718,2065,2697,2688,3124,2944,2542,2409,2373,1822,701,9
26659,26660,2023-02-19,1호선,150,서울역,하차,159,771,1041,1282,1901,1952,2089,2528,2766,2573,2599,2805,2897,2647,2542,2030,1396,797,363,49
27202,27203,2023-02-20,1호선,150,서울역,승차,310,515,2079,3188,2153,1934,2962,2963,2793,2226,2988,3550,6338,9258,4294,2883,2715,1556,689,87
27203,27204,2023-02-20,1호선,150,서울역,하차,379,2170,4440,10290,6493,2845,2627,2589,2413,2167,2336,2382,2986,3125,1913,1328,1201,749,311,116
27746,27747,2023-02-21,1호선,150,서울역,승차,344,465,1629,3041,2206,1987,2568,2774,2666,2287,3041,3640,6274,9138,4483,2991,2972,1684,845,59
27747,27748,2023-02-21,1호선,150,서울역,하차,306,1778,4405,10217,6377,2646,2487,2463,2409,2079,2550,2320,3006,3247,2091,1464,1162,879,456,135
28290,28291,2023-02-22,1호선,150,서울역,승차,313,470,1603,3011,2362,2101,2795,2957,2779,2422,3231,3658,6377,9418,4352,2911,2859,1809,913,98
28291,28292,2023-02-22,1호선,150,서울역,하차,294,1816,4427,10346,6492,2861,2459,2554,2574,2109,2534,2883,3342,3417,2012,1435,1233,928,438,147
28834,28835,2023-02-23,1호선,150,서울역,승차,307,476,1604,3077,2177,1974,2819,3094,2689,2644,3322,4057,6457,9210,4644,3233,3291,2029,1007,134
28835,28836,2023-02-23,1호선,150,서울역,하차,308,1972,4641,9937,6521,2976,2550,2839,2675,2316,2559,2734,3209,3570,2165,1480,1382,1016,458,161
29378,29379,2023-02-24,1호선,150,서울역,승차,303,486,1518,2951,2440,2260,3058,3495,3455,2795,3997,4657,7460,9456,4385,3592,3455,2611,1329,234
29379,29380,2023-02-24,1호선,150,서울역,하차,341,1845,4161,9501,6193,3087,2744,3181,3671,2815,2920,3174,3844,5024,3373,1879,1865,1338,632,234
29922,29923,2023-02-25,1호선,150,서울역,승차,268,235,547,1727,2345,2818,3215,3664,3407,2905,3487,4424,3933,3290,2939,2400,2619,1727,883,13
29923,29924,2023-02-25,1호선,150,서울역,하차,245,1655,1771,1983,3006,2963,2825,3737,3464,3248,3376,3553,3540,2853,2468,2029,1591,1212,614,46
30466,30467,2023-02-26,1호선,150,서울역,승차,152,170,338,914,1580,2171,2296,2732,2839,2010,2806,2642,3034,2716,2789,2215,2577,1873,616,7
30467,30468,2023-02-26,1호선,150,서울역,하차,170,798,1042,1328,1910,1842,2182,2785,2510,2791,2773,2725,3069,2452,2653,2089,1511,901,345,41
